,Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn,Tenure_year,Years_x_Num_Sites,Log_Total_Purchase
140,Jessica Horton,43.0,6992.09,1,6.84,11.0,2010-04-21 18:41:43,Unit 7652 Box 7117 DPO AP 06955-1878,Jackson Group,1,Old,75.24,8.85267779763392
141,Alexis Hill,39.0,6351.79,0,5.86,6.0,2012-03-24 16:13:42,"335 Dyer Shoals Port Patricia, PR 84461-1647",Campbell and Sons,1,Mid,35.160000000000004,8.756649365470707
142,Heather Hickman,31.0,11297.57,1,6.23,10.0,2015-03-17 22:32:58,"7259 Brown Street Apt. 385 Monicaport, GU 05916-8374",Moore LLC,1,Old,62.300000000000004,9.332431448019907
143,Steven Stevenson,52.0,7460.05,0,5.39,12.0,2013-10-17 21:48:30,"61756 Walls Ridges East James, IA 34568",George Inc,1,Mid,64.67999999999999,8.9174514339636
144,Hailey Sanchez,41.0,14429.41,1,5.51,11.0,2007-09-29 00:43:03,"78018 Ariana Crest Suite 467 North Tamara, IA 84527",Evans-Wagner,1,Mid,60.61,9.577093064392686
145,Randall Weber,34.0,12983.26,1,6.53,13.0,2007-10-14 20:54:33,"447 Lane Street Apt. 689 East Christopher, MI 80796","Torres, Villanueva and Velasquez",1,Old,84.89,9.471493133639655
146,Anna Bryant,39.0,8801.86,1,4.43,10.0,2007-03-18 11:14:44,"30668 Isabella Freeway Suite 428 Lake Kellyhaven, MP 89074-5017",Bennett Inc,1,Mid,44.3,9.082831947665237
147,Robert Russo,58.0,9703.93,0,5.16,11.0,2010-02-03 16:11:39,"976 Thomas Garden Lake Chad, DC 12638-0139",Hanna-Leonard,1,Mid,56.760000000000005,9.18038928280018
148,Tara Burton,49.0,11177.08,0,4.44,12.0,2008-07-01 05:11:46,"713 William Loaf New Christopher, DC 71560-8742",Reed-Fields,1,Mid,53.28,9.321709996719402
149,Yvette Perry,41.0,8560.76,1,3.99,12.0,2015-09-05 18:48:03,"83457 Davis Flats Morachester, GU 52752",Moore and Sons,1,Mid,47.88,9.055061055478102
150,Michael Williams,35.0,15571.26,0,6.45,9.0,2011-02-12 20:13:49,"5728 Michael Rue Riosland, NY 38804-1415",Petty and Sons,0,Old,58.050000000000004,9.653246405225945
151,Connie Golden,39.0,10268.87,1,3.68,6.0,2009-08-19 18:52:21,"3324 Gomez Knolls Suite 591 Farmerchester, LA 37647",Brown-Wagner,0,Mid,22.080000000000002,9.23696964461464
152,Seth Griffin,44.0,12328.03,1,4.6,9.0,2006-08-29 02:24:37,"9436 Warner Mill Suite 265 Port Kenneth, OH 00175-5756",Williams PLC,0,Mid,41.4,9.419711923152963
153,Rachel Cherry,52.0,9782.83,0,3.96,7.0,2012-04-17 10:47:29,"3479 Stewart Way Sandersside, ID 69317-8759","Bishop, Tran and Pope",0,Mid,27.72,9.188486301909434
154,Robert Sanders,29.0,9378.24,0,4.93,8.0,2015-06-08 22:29:28,"8199 Christopher Tunnel Suite 537 Warnerside, IN 29023-3624","White, Jones and Nelson",0,Mid,39.44,9.146254015263535
155,Chris Sutton,37.0,10314.67,1,5.86,8.0,2016-06-22 19:20:04,"858 Booth Points South Davidside, AZ 92136-1145",Collins Ltd,0,Mid,46.88,9.241419377346492
156,Kenneth Alexander,30.0,8403.78,1,4.13,7.0,2006-06-28 09:26:57,"032 Jorge Trail Apt. 091 Brianmouth, ID 23964",Torres Inc,0,Mid,28.91,9.036555870604252
157,Jason Taylor,46.0,5570.45,0,2.23,7.0,2012-01-05 06:20:54,"693 Kevin Groves Apt. 158 Debramouth, NV 73809","Moore, Nichols and Miller",0,New,15.61,8.625410622202919
158,Dennis Morgan,43.0,8042.76,0,4.95,8.0,2006-04-29 20:25:59,"00103 Jeffrey Crest Apt. 205 Padillaville, IA 90755","Barry, Jordan and Hall",0,Mid,39.6,8.992651914544908
159,Penny Perez,44.0,10309.15,1,6.35,9.0,2006-10-01 18:04:20,"725 Stephanie Springs Apt. 350 South Brianbury, MP 98006",Davis-Travis,0,Old,57.15,9.240884125886742
160,Erin Gilbert,35.0,12357.31,0,5.03,10.0,2014-06-08 19:11:10,"7098 Vicki Lane Suite 339 South Dominic, NM 43022-5425","Ware, Williams and Hill",0,Mid,50.300000000000004,9.422083990271506
161,Sean Macias,47.0,11306.1,0,6.01,7.0,2006-02-07 23:47:33,"911 Kent Point Anthonytown, KS 47499",Jimenez Group,0,Old,42.07,9.333186125975026
162,Christina Lewis,32.0,13630.93,0,4.38,10.0,2014-03-01 00:55:23,"273 Alexander Burg Suite 754 New Alexandrachester, DE 41261-1457","Thompson, Shelton and Pena",0,Mid,43.8,9.520170114079388
163,Lori Jackson,36.0,12284.58,1,5.7,9.0,2015-07-12 10:18:24,"19131 Robinson Mission Apt. 384 Smithview, AS 99303",Webb PLC,0,Mid,51.300000000000004,9.416181495888038
164,Mark Murray,39.0,8930.49,1,5.71,10.0,2014-10-12 09:22:09,"3444 Delgado Squares Apt. 967 Pageville, MI 59677",Lawson Inc,0,Mid,57.1,9.097338513255552
165,Dana Lewis,43.0,10578.14,0,1.87,10.0,2008-05-28 08:06:43,USNV Soto FPO AA 90235-3866,"Murphy, Park and Boyer",0,New,18.700000000000003,9.266639416664216
166,Dr. Michael Contreras,45.0,10364.82,0,5.93,5.0,2016-08-22 05:47:48,"53891 Paula Corners Apt. 946 West Michael, ME 42796-1668",Holt-Rogers,0,Mid,29.65,9.246269134138151
167,Rebecca Rasmussen,33.0,7750.54,1,4.57,8.0,2012-07-19 13:34:46,"PSC 2978, Box 1358 APO AP 49912-3876",Rodriguez-Flynn,0,Mid,36.56,8.955646812284659
168,Melanie Turner,48.0,10963.5,1,5.89,9.0,2008-07-03 10:48:28,"3987 Douglas Garden South Amanda, LA 99160-1676",Gates Ltd,0,Mid,53.01,9.302418060177091
169,Jeffery Ferguson,32.0,12547.91,0,7.78,10.0,2011-12-22 17:51:38,"1599 Rush Crescent Apt. 982 Bowmanchester, TX 33118-6129",Watts Ltd,0,Old,77.8,9.437389088198383
170,Brenda Haley,41.0,14069.41,1,1.62,10.0,2010-10-14 07:46:45,USS Barr FPO AE 09092,Forbes LLC,0,New,16.200000000000003,9.551829289698087
171,William Taylor,44.0,9723.71,0,4.34,9.0,2012-06-30 10:01:56,"499 Contreras Estates Suite 640 Tylertown, NY 97261",Stewart Inc,0,Mid,39.06,9.182425347990607
172,William Lyons,43.0,6298.75,1,4.51,9.0,2015-03-26 00:41:27,"2758 Williams Heights Apt. 571 Colleenton, AK 36124-5765","Brown, Conner and Torres",0,Mid,40.589999999999996,8.748265229052569
173,Bobby Christian,35.0,12107.03,0,5.82,9.0,2011-12-03 07:37:55,"PSC 8568, Box 1611 APO AA 56585-0874","Freeman, Lam and Jenkins",0,Mid,52.38,9.401624147839234
174,Victoria Medina,43.0,11674.12,0,2.88,8.0,2012-10-24 02:46:36,"816 Jeremy Bridge Apt. 543 New Michelleville, VI 50678",Walters-Sanders,0,New,23.04,9.365215360856867
175,William Haney,56.0,12502.81,0,5.47,8.0,2007-09-08 17:54:53,"143 Andrea Flat Lake Michael, ID 33149","Powell, Erickson and Rush",0,Mid,43.76,9.433788676848309
176,Alan Gray,29.0,9617.59,0,5.49,8.0,2013-02-19 03:23:16,"9278 Jenna Ways Apt. 628 West Ryan, AZ 06819-5978",Mendoza Inc,0,Mid,43.92,9.171452963270802
177,Jessica Johnson,36.0,13472.79,1,4.77,8.0,2006-02-14 22:16:21,"PSC 8132, Box 3379 APO AA 45232-2030",Young and Sons,0,Mid,38.16,9.508501595826935
178,Joshua Tran,49.0,9805.7,0,4.86,9.0,2011-04-29 16:53:13,"7774 Gonzalez Camp Suite 326 Lake Nathan, CA 46393-3674",Harris Group,0,Mid,43.74,9.190821104529808
179,Lisa Harmon,31.0,11743.24,0,5.3,6.0,2010-06-06 05:12:39,"2190 Fox Mountains North Jennifer, WV 75027-6097",Le LLC,0,Mid,31.799999999999997,9.371118186612788
180,Stephen Jenkins,30.0,12788.37,0,4.31,10.0,2009-08-22 20:21:57,USNV Perry FPO AE 07826-0914,Everett-Taylor,0,Mid,43.099999999999994,9.456369636127498
181,Misty Tate,40.0,5218.49,0,3.8,10.0,2006-11-16 04:13:27,"12915 Jeffrey Canyon Blackshire, AS 18084",Soto PLC,0,Mid,38.0,8.560154974954191
182,Isaiah Noble,44.0,10526.18,0,7.67,9.0,2009-09-21 12:50:42,"08820 Foster Via Suite 564 Barkerview, ME 82495-3527",Taylor-Bradley,0,Old,69.03,9.261715762993713
183,Jeff Davis,43.0,8583.5,1,4.39,10.0,2014-08-23 03:44:26,"115 Andrews Vista South Kristinchester, SD 82774-5194","Klein, Dalton and Doyle",0,Mid,43.9,9.057713530517267
184,Stacey Harding,39.0,11008.0,0,4.42,8.0,2007-12-22 13:07:46,"454 Sara Ways New Brandistad, AL 82361",Robinson-Koch,0,Mid,35.36,9.306468399070404
185,William Perkins,42.0,9625.89,1,5.84,9.0,2014-03-02 00:37:05,"54740 Jeffrey Place Apt. 914 Amandaland, MI 87447",Mills-Howe,0,Mid,52.56,9.172315503515533
186,James Contreras,46.0,11119.11,1,3.51,14.0,2008-08-12 09:23:02,"10454 David Greens South Jenniferbury, FM 87283-5336",Taylor-Robbins,0,Mid,49.14,9.316510459841979
187,Brian Morse,46.0,9982.55,1,4.75,7.0,2009-05-05 04:56:19,"7865 Gutierrez Expressway Suite 948 Tiffanyside, AR 59662-2367",Robinson Inc,0,Mid,33.25,9.208694017478045
188,Jennifer Hernandez,39.0,11159.46,0,3.95,11.0,2010-08-23 13:43:19,"1526 Jessica Corner Suite 592 Lindsayshire, OH 56989-0550","Howe, Carpenter and Washington",0,Mid,43.45,9.32013245372383
189,Heather Figueroa,36.0,12668.26,0,4.54,12.0,2007-06-27 02:09:55,"945 Blankenship Plain Suite 062 East Christopherville, MI 15647-1190",Martin and Sons,0,Mid,54.480000000000004,9.446933865926791
190,Russell Marks,38.0,9087.9,0,2.7,10.0,2015-10-02 10:17:54,"310 Taylor Walks Apt. 649 Lake Shane, MD 23982",Mcknight and Sons,0,New,27.0,9.11480916774776
191,Riley Gill,41.0,9091.21,0,4.55,11.0,2007-10-20 08:11:50,"30353 Amber Extension Apt. 202 Austinberg, VA 89084","Robertson, Young and Mcfarland",0,Mid,50.05,9.11517328193403
192,Brian Love,44.0,8755.02,1,5.71,8.0,2010-06-15 02:58:42,"43677 Smith Mission Meganview, VA 54055",Quinn and Sons,0,Mid,45.68,9.077496742788158
193,Lauren Walker,37.0,6362.93,1,6.8,7.0,2007-02-08 02:34:57,"599 Graham Courts North Katherine, WI 92642",Young-Newman,0,Old,47.6,8.75840139002572
194,Melanie Bender,48.0,13189.35,0,3.25,7.0,2006-01-18 03:29:38,"007 Shaw Trafficway Patrickstad, PA 29094-0827",Richardson-Keller,0,Mid,22.75,9.487240780613288
195,Samuel Castillo,47.0,10584.71,0,6.05,8.0,2006-04-14 04:20:32,"63139 Kristin Locks Suite 522 Lambton, WI 60723-5177",Jimenez-Thompson,0,Old,48.4,9.267260257370483
196,Ashley Soto,49.0,9853.64,1,6.95,6.0,2012-01-01 21:48:50,"275 Thompson Street Lake Nathan, AS 67338-1025",Brown Inc,0,Old,41.7,9.19569768923923
197,Adriana James,36.0,10448.09,0,4.13,8.0,2016-09-04 09:02:14,USNV Ferguson FPO AP 58507,"Doyle, Butler and Coleman",0,Mid,33.04,9.254270172261444
198,Andrea Salas,42.0,11473.38,1,2.87,10.0,2015-03-19 22:32:48,"308 Graham Corners Valeriehaven, SC 12062",Blackwell PLC,0,New,28.700000000000003,9.347872002967957
199,Erik Johnson,39.0,8986.28,0,4.36,8.0,2007-12-12 11:10:13,"6987 Weiss Flats Apt. 770 North Maria, MS 98836-9686",Lewis Group,0,Mid,34.88,9.103565523287418
200,Christopher Whitehead,33.0,13314.19,0,5.45,9.0,2007-10-01 01:47:23,"323 Farmer Cape Apt. 744 Jonathanfort, NJ 29387-2732",Harvey-Mckay,0,Mid,49.050000000000004,9.49666076776695
201,Casey Mcdaniel,41.0,9918.77,0,4.02,10.0,2016-04-03 04:04:37,Unit 5523 Box 7609 DPO AA 77484-6339,Bishop and Sons,0,Mid,40.199999999999996,9.202285014526261
202,Jeremiah Lee,45.0,12783.21,1,4.47,10.0,2015-02-12 08:14:08,"03538 Gonzalez Forges Hamiltonbury, CA 87284",Snyder PLC,0,Mid,44.699999999999996,9.455966094654617
203,Jennifer Patterson,46.0,7026.18,0,6.3,8.0,2012-01-31 23:08:54,"01546 Jared Key Justinview, OR 04118-6027","Carlson, King and Murray",0,Old,50.4,8.857540766347263
204,Lawrence Morton,48.0,9706.88,0,6.45,8.0,2006-08-24 18:32:46,"0434 Douglas Ridge Suite 884 Raychester, DE 82008",Clark LLC,0,Old,51.6,9.180693205830664
205,Jeffrey Hunt,42.0,10236.95,1,5.71,8.0,2013-11-12 11:20:57,"479 Samantha Groves Suite 505 Morrowshire, CA 94582-2855",Garcia Group,0,Mid,45.68,9.233856683239242
206,Gina Richardson,33.0,13157.08,1,5.04,10.0,2006-08-14 09:24:11,"44577 John Keys Robertview, FL 73433-8410",Murphy Inc,0,Mid,50.4,9.484791297578822
207,Richard Farmer,44.0,8588.46,1,7.77,8.0,2012-07-05 09:58:33,"115 Courtney Springs Suite 396 Jenniferland, IL 43853-4718","Schroeder, Hines and Thompson",0,Old,62.16,9.058291149207179
208,Brian White,48.0,7778.73,1,4.18,8.0,2013-09-01 06:06:37,"PSC 1209, Box 3739 APO AE 03896","Martinez, Ochoa and Jennings",0,Mid,33.44,8.959276912200046
209,Richard Meadows,42.0,10268.0,0,5.33,6.0,2007-09-14 04:40:41,"64425 Brittany Common Joycechester, NE 85166-7648","Thompson, Rojas and Moore",0,Mid,31.98,9.236884927198295
210,Omar Moore,34.0,9845.35,0,4.82,7.0,2008-04-12 20:34:33,"960 Joseph Landing South Philip, MH 88524-5021",Ortiz-Nixon,0,Mid,33.74,9.19485610711678
211,Tasha Reed,37.0,11912.13,0,5.67,10.0,2011-02-19 18:04:28,"575 Kara Shores Anthonyburgh, VT 30056",Price Group,0,Mid,56.7,9.385396432188406
212,Albert Clayton,33.0,12115.91,1,5.5,9.0,2010-09-08 00:14:20,Unit 6274 Box 5329 DPO AA 54598,"Mann, Roberts and Hoffman",0,Mid,49.5,9.402357276622853
213,John Mejia,35.0,10801.37,1,5.64,11.0,2014-04-12 07:09:16,"1159 Charles Mountain Elainechester, ND 45109",Adams-Crawford,0,Mid,62.04,9.287520833482345
214,Diane Terry,53.0,13173.82,0,5.26,7.0,2007-10-15 03:45:59,"543 Bell Ranch Apt. 002 Kevinfurt, ID 14051-9447","Walton, Barnes and Simon",0,Mid,36.82,9.486062711077144
215,Christina Maldonado,49.0,9940.76,0,5.72,11.0,2006-08-28 11:16:01,"483 Douglas Club Apt. 632 Port Valerie, PW 88649-6413","Moreno, Green and Moreno",0,Mid,62.919999999999995,9.204499346351174
216,Kathryn Malone,46.0,12261.79,1,3.72,10.0,2010-02-17 15:02:40,"52750 Roberts Via Stephenstad, ME 82199-5372",Stewart-Nichols,0,Mid,37.2,9.414324752931389
217,Cynthia Burns,47.0,12987.28,0,5.86,10.0,2007-08-30 07:15:35,USCGC Gould FPO AP 18053-9165,"Perez, Miller and Mcdowell",0,Mid,58.6,9.471802691351924
218,Christina Reed,51.0,4523.91,0,3.98,8.0,2013-06-03 01:02:20,"53000 Mary Bypass New Markbury, IL 60012-4197",Atkins Group,0,Mid,31.84,8.417352966433466
219,Brittney Stokes,41.0,6172.23,0,4.28,8.0,2013-11-11 04:06:44,"1045 Kimberly Avenue South John, AR 19601",Hood-Webb,0,Mid,34.24,8.727977480731061
220,Mary Griffin,49.0,6283.67,0,6.35,11.0,2007-07-01 04:15:59,"91062 Michelle Underpass Lloydmouth, ND 88737",Mathews-Clark,0,Old,69.85,8.745868613679274
221,Carla Wolfe,48.0,7232.06,1,4.9,6.0,2009-11-21 12:47:28,"67507 Brittany Prairie Apt. 279 Solisborough, VA 81388-7017",Ross Group,0,Mid,29.400000000000002,8.886417462128023
222,Emily Little,35.0,6683.82,1,7.82,7.0,2015-06-05 23:55:35,"1779 Jessica Glen West Tylerport, VT 62988-2923",Moore PLC,0,Old,54.74,8.807594563219906
223,Jason Santana,39.0,9408.96,1,3.83,4.0,2011-09-30 06:15:01,"8072 Kathy Harbors Apt. 845 Normanburgh, MA 46572-1532",Gonzalez LLC,0,Mid,15.32,9.149523981773367
224,Willie Proctor,47.0,8291.93,0,4.47,7.0,2012-04-28 20:15:34,"62726 Tracey Passage Apt. 685 South Brittany, RI 28461",Schmidt Group,0,Mid,31.29,9.023158623561848
225,Todd Harris,41.0,10017.82,0,6.0,8.0,2012-10-09 22:22:18,"28501 Shawn Village Apt. 894 New Jasonhaven, WY 35010-3731","Henry, Warren and Lyons",0,Mid,48.0,9.212220603233018
226,Kimberly Nichols,38.0,7320.49,0,1.58,10.0,2008-01-16 23:56:07,"4920 Byrd Ford Danielbury, VI 04457",King-Rodriguez,0,New,15.8,8.898569138154047
227,Derek Russell,43.0,8817.29,0,3.19,8.0,2010-05-28 12:49:08,"2445 Jean Row Vasquezbury, RI 25867-8317",Hartman-Smith,0,Mid,25.52,9.084583252653134
228,Robert Huff,36.0,8948.86,0,7.37,10.0,2010-05-12 10:46:23,"36802 Wallace Parkways Jacquelineland, IL 81451","Carlson, Guerra and Daniel",0,Old,73.7,9.099393168688456
229,Kelly Terry,45.0,3689.95,1,5.01,11.0,2014-09-10 10:05:06,"3798 Johnson Gardens Hughesside, PR 65467","Ellis, Johnston and Sullivan",0,Mid,55.11,8.21363915647387
230,Francisco Martinez,52.0,8185.22,1,5.76,8.0,2016-12-10 21:52:56,"842 Hebert Wells Suite 823 North Tina, WI 75284-1996","Washington, Watson and Jarvis",0,Mid,46.08,9.010207531843918
231,Jason Garcia,43.0,9347.89,1,4.17,8.0,2009-01-19 11:50:29,"751 Robert Lock Suite 515 Smithmouth, KS 83199-2220",Reid and Sons,0,Mid,33.36,9.143012898657823
232,Daniel Johnson,42.0,12888.85,1,4.79,8.0,2010-03-30 04:37:57,"01614 Parker Garden New Patricia, SD 99014",Turner and Sons,0,Mid,38.32,9.464195458937672
233,Gregory Blake,41.0,5387.41,1,4.17,8.0,2013-03-26 16:02:49,"25024 Rasmussen Haven Port Brendantown, UT 25626-9953","Brooks, Sutton and Castro",0,Mid,33.36,8.592005629661159
234,Richard Odonnell,38.0,7605.49,0,6.99,10.0,2014-03-13 19:27:04,"0297 Mendoza Motorway Lisastad, IN 31184-3807","Lewis, West and Snyder",0,Old,69.9,8.93675710923723
235,Monica Espinoza,45.0,8480.93,0,4.57,9.0,2009-06-26 10:22:40,"602 Jennifer Brook Suite 753 North Alison, NJ 24477","Pratt, Carter and Lopez",0,Mid,41.13,9.045693297229908
236,David Hansen,29.0,11274.46,1,4.43,8.0,2014-03-31 07:43:29,"742 Ortiz Street Apt. 568 Robertland, AS 94732-7050","Crawford, Scott and Smith",0,Mid,35.44,9.330383961764818
237,Elizabeth Chandler,43.0,13116.73,0,3.57,9.0,2006-04-15 03:59:33,USNS Garcia FPO AA 23264-4875,Morris Inc,0,Mid,32.129999999999995,9.481720029236005
238,Michael White,32.0,7896.65,0,7.12,8.0,2015-10-17 17:47:44,"48465 Susan Summit Suite 561 Hawkinston, WY 60818",Hawkins-Mckay,0,Old,56.96,8.974320525848196
239,William Pacheco,36.0,12086.92,1,5.52,6.0,2008-11-03 20:48:20,"PSC 6149, Box 2267 APO AA 69767-2977",Wilkerson-Miller,0,Mid,33.12,9.399961885796989
240,Dr. Brandon Adams,42.0,10500.77,0,5.68,6.0,2013-06-22 06:20:23,"93971 Jacob Flats Port Shannonton, IN 95823-2039",Friedman-Carroll,0,Mid,34.08,9.25929909336762
241,William Burns,38.0,7673.0,1,7.42,7.0,2006-02-25 19:40:22,"432 Allen Station North Rebecca, MA 78424-2850","Santos, Hughes and Miller",0,Old,51.94,8.945593270806897
242,Jack Ortega,42.0,14242.7,0,5.79,10.0,2009-09-06 07:44:13,"49625 Joseph Mountain West Brandon, AL 19037-8797",Anderson-Evans,0,Mid,57.9,9.564069982676292
243,Jonathan Cooley,40.0,6590.63,1,4.52,7.0,2012-12-03 14:56:55,"3012 Kimberly Lights West Teresa, CA 83239",Larsen-Johnson,0,Mid,31.639999999999997,8.79355594137326
244,Erin Norris,37.0,15070.32,0,6.91,6.0,2016-02-01 16:43:22,"081 Randy Crest Apt. 821 South James, LA 27688-1775",Garcia LLC,0,Old,41.46,9.62054887902553
245,Michael Grant,37.0,13717.41,1,6.5,7.0,2014-03-31 08:16:48,"2978 Luke Cape Tracyfort, NJ 87595-8510","Flores, Davis and Duncan",0,Old,45.5,9.526494005351374
246,Connor Knapp,41.0,9219.95,1,5.21,10.0,2015-09-21 16:18:10,"7805 Kerri Route Marystad, UT 08020","Smith, Simpson and Wolf",0,Mid,52.1,9.129233348119062
247,Megan Jenkins,65.0,10430.5,0,6.5,6.0,2013-10-03 14:36:47,"3462 Teresa Falls Apt. 035 Charlesview, MS 09689-7606",Bates-Ramos,0,Old,39.0,9.252585353569929
248,Sarah Hall,45.0,5200.06,1,6.33,8.0,2014-05-05 13:36:19,"3930 Baker Square North Michaelside, PR 98680",Sanchez-Brown,0,Old,50.64,8.556617729949561
249,Tony Schneider,43.0,11197.42,1,3.48,9.0,2009-04-30 13:55:51,"329 Pierce Place Apt. 176 North Tammybury, WV 17594",Harper-Noble,0,Mid,31.32,9.323527975903104
250,Karen Peterson,45.0,13650.64,0,4.96,8.0,2010-05-04 02:15:49,"1721 Diana Canyon Suite 811 Dukemouth, NC 04129-3149","Moore, Donaldson and Stevens",0,Mid,39.68,9.521614939916237
251,Tiffany Case,42.0,7351.72,0,5.26,9.0,2015-09-26 01:05:29,"0792 Denise Lodge Apt. 903 Jenniferchester, HI 96154-9657",Clark Inc,0,Mid,47.339999999999996,8.90282559177581
252,Mary Sanchez,33.0,10306.21,1,6.36,9.0,2011-12-20 17:01:00,"073 Joseph Knolls Apt. 112 West Mary, NV 59877","Smith, Wright and Price",0,Old,57.24,9.240598929332
253,David Moran,37.0,10147.22,0,6.63,8.0,2014-02-07 06:46:25,"278 Barbara Divide Suite 780 North Elizabeth, SC 44587-8722","Harris, Mcdonald and Johnson",0,Old,53.04,9.225053599632783
254,David Lopez,48.0,10528.71,0,5.0,9.0,2007-09-17 05:36:30,"1630 Robert Points Apt. 793 East Jonathonberg, NH 78592-4122",Good Inc,0,Mid,45.0,9.261956064387904
255,Cynthia Nguyen,41.0,10054.6,1,4.93,6.0,2015-04-28 16:20:32,"PSC 5666, Box 1288 APO AE 26505",Sullivan-Weaver,0,Mid,29.58,9.215884972231533
256,Brittany Smith,45.0,8595.24,0,6.4,10.0,2012-08-11 06:43:24,"151 Sara Springs Lake Davidside, AK 46384-8806",Patrick-Walker,0,Old,64.0,9.059080177335419
257,Laura Smith,45.0,6681.61,1,5.6,8.0,2010-06-16 21:05:45,"1723 Galloway Groves Apt. 026 Timothystad, PR 36052-9128","West, Gonzales and Shields",0,Mid,44.8,8.807263908782945
258,Michael Dominguez,29.0,10203.18,1,5.82,8.0,2014-03-01 23:18:09,"3043 Walters Loaf Suite 575 Christophermouth, TN 25692",Guzman-Hunter,0,Mid,46.56,9.230552719247237
259,Paul Wagner,42.0,10427.12,0,6.64,10.0,2011-04-06 23:57:31,"49936 Colleen Stream Port Elizabeth, MN 80287-5385","Santos, Jackson and Guerrero",0,Old,66.39999999999999,9.252261282467044
260,Calvin Coleman,39.0,10388.38,0,5.1,7.0,2013-09-07 16:29:09,Unit 9127 Box 5819 DPO AE 24161,Stark-Clarke,0,Mid,35.699999999999996,9.248539409550512
261,Lisa Burton,39.0,9353.38,0,4.06,7.0,2014-04-02 02:19:31,Unit 9800 Box 2878 DPO AA 75157,Smith-Alexander,0,Mid,28.419999999999998,9.143599961792523
262,John Gonzales,42.0,11756.06,0,4.88,8.0,2014-07-31 14:15:33,"3880 Denise Curve South Christopher, NC 79432","Martin, White and Hernandez",0,Mid,39.04,9.372209190197408
263,Linda Hubbard,40.0,12295.95,1,5.69,11.0,2010-08-01 23:22:21,"8983 Benjamin Run South Kelseytown, AZ 03915",Vincent Group,0,Mid,62.59,9.417106543131815
264,Rachel Hull,40.0,7819.46,1,4.77,9.0,2014-03-07 11:47:51,"02794 Edward Summit Suite 660 Victoriahaven, TN 44165",Taylor LLC,0,Mid,42.92999999999999,8.964498655338733
265,Tracy Ray,34.0,10674.92,1,3.09,9.0,2006-08-15 20:48:58,Unit 3715 Box 1153 DPO AA 36768-7501,Wise Inc,0,Mid,27.81,9.275746017053102
266,Sarah Bailey,37.0,10989.43,0,6.62,10.0,2013-07-14 15:25:42,"56493 Becker Stravenue Suite 006 West Anna, MS 49275",Spencer and Sons,0,Old,66.2,9.304780173110863
267,Aaron King,46.0,7504.79,0,5.98,8.0,2007-05-13 20:42:11,"38346 Smith Prairie Arnoldside, MD 33861-4885",Hernandez PLC,0,Mid,47.84,8.923430001685679
268,Bradley Washington,46.0,9306.05,0,5.35,7.0,2016-01-01 18:31:30,"149 Paula Divide Vazquezfurt, MN 57597-1890",Smith and Sons,0,Mid,37.449999999999996,9.1385274564717
269,Holly Caldwell,37.0,11523.63,1,3.56,7.0,2014-10-29 11:21:21,"020 Amy Groves Suite 845 Phillipsport, AL 40594","Spencer, Young and Shaw",0,Mid,24.92,9.352241763228026
270,Cheryl Bruce,44.0,9613.84,1,4.38,8.0,2014-06-18 19:25:33,"PSC 5054, Box 2004 APO AP 20629","Oconnor, Hernandez and Bailey",0,Mid,35.04,9.171063017218795
271,Megan Flynn,48.0,13298.38,0,2.99,8.0,2015-06-12 16:55:18,"86354 Brenda Manor Port Stevenmouth, NC 39915","Smith, Shelton and Williams",0,New,23.92,9.495472696581906
272,Amanda Williams,37.0,8614.75,0,5.03,9.0,2011-07-07 15:43:46,"79676 Johnson Villages Apt. 089 Reyesstad, DC 78510",Jones-Fisher,0,Mid,45.27,9.061347202630671
273,Amy Morris,45.0,9951.97,1,4.4,6.0,2015-01-04 19:58:01,"017 Gutierrez Fork New Benjamin, VA 99400","Patel, Smith and Campos",0,Mid,26.400000000000002,9.205626278074938
274,Teresa Garcia,46.0,11343.33,1,3.69,8.0,2012-09-20 05:52:41,"2374 Jackson Walks Larryberg, PW 89438-7588",Ibarra and Sons,0,Mid,29.52,9.336473338616779
275,Thomas Mcintosh,38.0,10026.44,1,6.85,9.0,2014-12-01 02:04:27,"510 Alexander Pike New Scottfort, NV 46217-8559",Garrett Ltd,0,Old,61.65,9.213080614081056
276,Justin Friedman,38.0,8473.65,1,4.78,7.0,2010-11-29 19:37:15,"9195 Erin Terrace Suite 818 Lake Feliciaberg, NV 64016-8747",Garcia-Johnson,0,Mid,33.46,9.044834633460765
277,Whitney Beasley,42.0,12989.06,0,5.0,10.0,2010-03-15 16:50:19,"PSC 3448, Box 5424 APO AE 92778-0504",Knight Inc,0,Mid,50.0,9.471939728591622
278,Beverly Perry,38.0,12893.47,1,5.69,5.0,2012-11-20 05:53:31,"3145 Cruz Mill North Deborahstad, AR 02085",Mathis Ltd,0,Mid,28.450000000000003,9.46455381626875
279,David Sweeney,34.0,7324.32,0,6.69,10.0,2014-12-16 02:23:49,"755 Ashley Motorway Suite 227 West Rachel, NH 67933-7552","Adams, Dominguez and Vasquez",0,Old,66.9,8.899092118937888
280,Amber Williams,40.0,8530.23,1,3.66,10.0,2012-02-03 18:33:21,"2896 Diana Spur Suite 985 New Tami, IN 56915","Lee, Daniels and Ryan",0,Mid,36.6,9.051488827042277
